시도,시군구,신고량,면적(km²),면적당 신고량
대구광역시,중구,15137,7.06 ,2144 
부산광역시,수영구,17645,10.21 ,1728 
부산광역시,중구,4732,2.83 ,1672 
인천광역시,부평구,47520,32.00 ,1485 
인천광역시,미추홀구,30409,24.84 ,1224 
부산광역시,부산진구,31857,29.68 ,1073 
서울특별시,중구,10024,9.96 ,1006 
부산광역시,동래구,16510,16.63 ,993 
부산광역시,동구,9632,9.74 ,989 
부산광역시,연제구,11381,12.10 ,941 
인천광역시,남동구,44720,57.05 ,784 
경기도,부천시,39581,53.44 ,741 
경기도,수원시,88554,121.05 ,732 
서울특별시,강남구,28871,39.50 ,731 
서울특별시,동대문구,10291,14.21 ,724 
경기도,성남시,96209,141.66 ,679 
서울특별시,관악구,19977,29.57 ,676 
대구광역시,서구,11622,17.33 ,671 
서울특별시,금천구,8507,13.02 ,653 
대전광역시,서구,60316,95.50 ,632 
광주광역시,서구,30053,47.78 ,629 
대구광역시,달서구,38956,62.34 ,625 
서울특별시,광진구,10534,17.06 ,617 
인천광역시,연수구,33457,54.95 ,609 
대구광역시,남구,10575,17.44 ,606 
울산광역시,남구,43769,73.05 ,599 
경기도,안양시,33861,58.52 ,579 
전라남도,목포시,29119,51.64 ,564 
서울특별시,양천구,9466,17.41 ,544 
서울특별시,마포구,12910,23.84 ,542 
서울특별시,영등포구,13186,24.53 ,538 
부산광역시,남구,14088,26.81 ,525 
서울특별시,중랑구,9666,18.50 ,522 
서울특별시,강동구,12442,24.59 ,506 
경기도,광명시,19293,38.52 ,501 
경기도,군포시,17531,36.41 ,481 
경기도,안산시,72870,154.23 ,472 
서울특별시,구로구,9330,20.12 ,464 
서울특별시,용산구,9445,21.87 ,432 
서울특별시,송파구,14593,33.88 ,431 
부산광역시,해운대구,22153,51.47 ,430 
서울특별시,강서구,17038,41.44 ,411 
서울특별시,성동구,6783,16.86 ,402 
부산광역시,서구,5405,13.96 ,387 
대구광역시,수성구,29297,76.46 ,383 
서울특별시,도봉구,7908,20.67 ,383 
울산광역시,중구,14000,37.00 ,378 
부산광역시,영도구,5254,14.19 ,370 
경기도,구리시,12061,33.31 ,362 
서울특별시,동작구,5788,16.35 ,354 
광주광역시,북구,42122,120.30 ,350 
인천광역시,동구,2517,7.19 ,350 
부산광역시,사상구,12568,36.09 ,348 
서울특별시,노원구,12325,35.44 ,348 
서울특별시,서초구,16040,46.98 ,341 
대구광역시,북구,32020,94.08 ,340 
경기도,오산시,14256,42.73 ,334 
서울특별시,서대문구,5794,17.61 ,329 
부산광역시,사하구,13579,41.75 ,325 
인천광역시,서구,37686,116.90 ,322 
서울특별시,성북구,7915,24.58 ,322 
대전광역시,대덕구,21707,68.68 ,316 
부산광역시,북구,12396,39.36 ,315 
서울특별시,종로구,7186,23.91 ,301 
대전광역시,중구,17826,62.14 ,287 
경기도,시흥시,37816,135.79 ,278 
서울특별시,강북구,6504,23.60 ,276 
인천광역시,계양구,12429,45.57 ,273 
경기도,의정부시,21837,81.54 ,268 
서울특별시,은평구,7798,29.70 ,263 
대전광역시,유성구,43409,176.37 ,246 
광주광역시,동구,10463,49.32 ,212 
울산광역시,동구,7071,36.04 ,196 
광주광역시,광산구,39595,222.86 ,178 
광주광역시,남구,10590,60.98 ,174 
전라북도,전주시,35395,205.53 ,172 
경기도,고양시,45571,267.33 ,170 
부산광역시,금정구,10145,65.27 ,155 
경기도,하남시,13769,93.03 ,148 
경기도,의왕시,7005,53.99 ,130 
대구광역시,동구,20574,182.18 ,113 
경기도,김포시,29393,276.64 ,106 
경기도,평택시,44535,458.08 ,97 
대전광역시,동구,12780,136.66 ,94 
충청북도,청주시,86477,940.33 ,92 
경상남도,창원시,67862,747.67 ,91 
경기도,용인시,53233,591.34 ,90 
경상남도,김해시,38543,463.36 ,83 
충청남도,천안시,51411,636.07 ,81 
울산광역시,북구,12649,157.33 ,80 
인천광역시,중구,11054,140.19 ,79 
경기도,과천시,2738,35.87 ,76 
부산광역시,강서구,12484,181.48 ,69 
